01/12/2016 19:54:04	
ID	posit.	U	temp.	couple
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.6	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:28:01	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.5	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	37.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:29:01	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.09	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	41.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.51	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	40.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:30:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.5	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.3	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	12.0	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.3	41.0	-0.0
02/12/2016 01:31:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.77	11.4	41.0	-0.0
33	4.0	11.4	41.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.75	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.7	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	12.0	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:32:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.82	11.7	42.0	-0.0
36	-4.55	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.51	11.3	37.0	-0.0
43	-5.93	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.48	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	12.0	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:33:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.82	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.48	11.6	37.0	0.0
12	1.54	11.8	37.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	46.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:34:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.48	11.6	37.0	0.0
12	1.54	11.8	37.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.6	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:35:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.82	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.93	11.1	38.0	-0.0
44	1.01	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.71	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	6.02	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:36:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.82	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.93	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	6.02	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:37:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.93	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	37.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:38:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.09	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.93	11.1	38.0	-0.0
44	1.01	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:39:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.09	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.93	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.48	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:40:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	1.01	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:41:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.09	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:42:02	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.82	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	12.0	11.7	36.0	0.0
21	5.93	11.6	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:43:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.75	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.6	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:44:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.51	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:45:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.51	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:46:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.82	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	39.0	-0.0
52	-2.75	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:47:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.3	12.0	45.0	0.8
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:48:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.82	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.93	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.8	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.48	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:49:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	-1.6
37	-9.0	12.0	45.0	-0.0
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	1.01	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.75	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.6	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:50:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.57	11.7	44.0	-0.0
35	3.82	11.7	41.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.0
41	-0.29	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	1.01	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.84	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.48	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	12.0	11.7	36.0	0.0
21	5.93	11.7	42.0	0.0
22	10.59	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.49	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
02/12/2016 01:51:03	
ID	posit.	U	temp.	couple
31	8.66	11.4	42.0	-0.0
32	2.68	11.4	41.0	-0.0
33	4.0	11.4	39.0	0.0
34	-0.48	11.7	44.0	-0.0
35	3.91	11.7	42.0	-0.0
36	-4.25	11.7	44.0	0.0
37	-9.0	12.0	45.0	-0.8
41	-0.2	11.2	40.0	0.0
42	-0.59	11.3	37.0	-0.0
43	-5.85	11.1	38.0	-0.0
44	0.92	11.3	37.0	0.0
51	-1.6	11.5	40.0	-0.0
52	-2.75	11.2	38.0	-0.0
53	-8.13	11.1	39.0	-0.0
54	1.1	11.2	39.0	-0.0
11	8.57	11.6	38.0	0.0
12	1.54	11.8	38.0	-0.0
13	7.63	11.5	34.0	0.0
14	-1.71	11.7	35.0	0.0
15	11.91	11.7	36.0	0.0
21	5.93	11.6	42.0	0.0
22	10.68	11.7	47.0	-0.0
23	-0.4	11.7	36.0	-0.0
24	13.41	11.6	35.0	-0.0
25	13.41	11.2	41.0	-0.0
